    title,release_year,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
Due Date,2010,95,"['drama', 'comedy']",['US'],,tt1231583,6.5,339626.0,31.661,6.3
Cop Out,2010,107,"['comedy', 'thriller', 'action', 'crime']",['US'],,tt1385867,5.5,87673.0,10.863,5.6
Legend of the Guardians: The Owls of Ga'Hoole,2010,100,"['fantasy', 'family', 'action', 'war', 'drama', 'thriller', 'animation']","['US', 'AU']",,tt1219342,6.9,82623.0,21.915,6.8
Louis C.K.: Hilarious,2010,84,['comedy'],['US'],,tt1421373,8.4,11973.0,7.387,7.9
Death at a Funeral,2010,92,['comedy'],['US'],,tt1321509,5.6,49599.0,11.687,5.8
I Will Follow,2010,76,['drama'],['US'],,tt1624426,5.9,865.0,4.098,5.7
Alpha and Omega,2010,88,"['animation', 'romance', 'comedy', 'family']","['IN', 'CA', 'US']",,tt1213012,5.1,14272.0,16.15,5.8
"Cairo 6,7,8",2010,100,['drama'],['EG'],,tt1764141,7.4,4346.0,4.851,7.7
The Boy Who Cried Werewolf,2010,97,"['fantasy', 'horror', 'comedy', 'family']","['US', 'CA']",,tt1451423,5.9,3264.0,12.362,6.5
Whitney Cummings: Money Shot,2010,48,"['comedy', 'documentation']",['US'],,tt1659261,6.2,907.0,2.0,5.9
Anchor Baby,2010,95,"['documentation', 'drama', 'thriller']",['US'],,tt3296300,6.3,79.0,0.84,6.0
Ijé: The Journey,2010,106,['drama'],"['NG', 'US']",,tt1578582,7.0,108.0,1.035,
Tango with Me,2010,104,"['drama', 'family', 'romance']",['US'],,tt1686795,6.3,46.0,0.6,
Hop,2011,95,"['comedy', 'fantasy', 'animation', 'family']",['US'],,tt1411704,5.4,33734.0,12.008,5.7
"Crazy, Stupid, Love.",2011,118,"['romance', 'comedy', 'drama']",['US'],,tt1570728,7.4,507878.0,30.363,7.3
Margin Call,2011,107,"['thriller', 'drama']",['US'],,tt1615147,7.1,125883.0,17.311,6.8
Midnight in Paris,2011,94,"['fantasy', 'romance', 'comedy']","['US', 'ES']",,tt1605783,7.7,413541.0,26.775,7.5
Warrior,2011,140,"['drama', 'action', 'sport']",['US'],,tt1291584,8.2,463276.0,74.092,7.8
The Girl with the Dragon Tattoo,2011,158,"['crime', 'thriller', 'drama']","['NO', 'SE', 'US']",,tt1568346,7.8,454917.0,23.091,7.4
Contagion,2011,106,"['thriller', 'scifi', 'action', 'drama']","['US', 'AE']",,tt1598778,6.8,300074.0,26.205,6.6
Just Go with It,2011,117,"['romance', 'comedy']",['US'],,tt1564367,6.4,239367.0,89.01,6.6
Sherlock Holmes: A Game of Shadows,2011,129,"['crime', 'thriller', 'action']","['US', 'GB']",,tt1515091,7.4,446531.0,47.884,7.1
Sucker Punch,2011,110,"['fantasy', 'thriller', 'action']","['US', 'CA']",,tt0978764,6.0,241111.0,73.193,6.1
Jackass 3.5,2011,85,"['action', 'comedy', 'documentation']",['US'],,,,,21.659,6.3
Soul Surfer,2011,112,"['drama', 'family', 'sport']",['US'],,tt1596346,7.0,49101.0,44.641,7.1
Final Destination 5,2011,92,"['horror', 'thriller', 'action', 'fantasy', 'documentation', 'european']",['US'],,tt1622979,5.9,114505.0,63.749,6.0
Puss in Boots,2011,79,"['comedy', 'animation', 'family', 'fantasy', 'action']",['US'],,tt0448694,6.6,156144.0,41.19,6.4
Hall Pass,2011,105,"['romance', 'comedy']",['US'],,tt0480687,5.9,125098.0,27.533,5.6
Unknown,2011,113,"['action', 'thriller', 'european']","['GB', 'FR', 'DE']",,tt1401152,6.8,259696.0,61.423,6.7
Hostel: Part III,2011,88,['horror'],['US'],,,,,31.292,5.1
The Rite,2011,114,"['drama', 'thriller', 'horror']","['US', 'HU', 'IT']",,tt1161864,6.0,96915.0,24.872,6.1
Mean Girls 2,2011,96,['comedy'],['US'],,tt1679235,4.1,23287.0,39.834,5.3
A Very Harold & Kumar Christmas,2011,108,"['comedy', 'fantasy', 'romance']",['US'],,tt1268799,6.2,69241.0,16.887,6.0
Red Riding Hood,2011,100,"['fantasy', 'thriller', 'horror', 'drama', 'romance']","['CA', 'US']",,tt1486185,5.4,111483.0,23.463,6.0
New Year's Eve,2011,113,"['comedy', 'romance', 'documentation']",['US'],,tt1598822,5.6,85658.0,24.531,5.9
The Smurfs,2011,103,"['fantasy', 'comedy', 'family', 'animation']",['US'],,tt0472181,5.4,89316.0,40.268,5.8
Jack and Jill,2011,91,"['comedy', 'horror']",['US'],,tt0810913,3.3,83727.0,43.997,4.3
Everything Must Go,2011,97,"['comedy', 'drama']",['US'],,tt1531663,6.4,50431.0,7.287,6.1
Arthur Christmas,2011,97,"['drama', 'animation', 'family', 'comedy', 'fantasy']","['GB', 'US']",,tt1430607,7.1,58296.0,15.795,6.7
